URL,Fiyat,Oda Sayısı,Brüt m2,Kat Sayısı,Bulunduğu Kat,Bina Yaşı,Isınma Tipi,İlan No
https://www.hepsiemlak.com/antalya-konyaalti-gursu-satilik/daire/6866-1401,22.450.000 TL,3 + 1,200 m2,6 Katlı,2. Kat,20 Yaşında,Kombi,6866-1401
https://www.hepsiemlak.com/antalya-muratpasa-caglayan-satilik/daire/114635-2601,11.650.000 TL,3 + 1,185 m2,13 Katlı,9. Kat,16 Yaşında,Kombi,114635-2601
https://www.hepsiemlak.com/antalya-kepez-varsak-karsiyaka-satilik/daire/121854-222,4.150.000 TL,2 + 1,180 m2,2 Katlı,1. Kat,16 Yaşında,Klima,121854-222
https://www.hepsiemlak.com/antalya-kepez-aydogmus-satilik/daire/162599-80,4.250.000 TL,2 + 1,110 m2,4 Katlı,2. Kat,Sıfır Bina,Belirtilmemiş,162599-80
https://www.hepsiemlak.com/antalya-muratpasa-bahcelievler-satilik/daire/134818-942,6.750.000 TL,1 + 1,65 m2,5 Katlı,3. Kat,Sıfır Bina,Kombi,134818-942
https://www.hepsiemlak.com/antalya-kepez-kanal-satilik/daire/133891-267,3.000.000 TL,2 + 1,85 m2,3 Katlı,Zemin,Sıfır Bina,Klima,133891-267
https://www.hepsiemlak.com/antalya-kepez-ayanoglu-satilik/daire/120429-1925,3.744.000 TL,3 + 1,220 m2,5 Katlı,1. Kat,11 Yaşında,Klima,120429-1925
https://www.hepsiemlak.com/antalya-muratpasa-bahcelievler-satilik/daire/139287-741,6.950.000 TL,1 + 1,65 m2,4 Katlı,2. Kat,Sıfır Bina,Kombi,139287-741
https://www.hepsiemlak.com/antalya-konyaalti-gursu-satilik/daire/34677-2368,22.500.000 TL,3 + 1,330 m2,12 Katlı,12. Kat,19 Yaşında,Kombi,34677-2368
https://www.hepsiemlak.com/antalya-kepez-karsiyaka-satilik/daire/123319-3361,2.600.000 TL,2 + 1,90 m2,3 Katlı,Giriş Katı,11 Yaşında,Klima,123319-3361
https://www.hepsiemlak.com/antalya-muratpasa-zerdalilik-satilik/daire/156835-34,4.900.000 TL,1 + 1,55 m2,4 Katlı,Yüksek Giriş,1 Yaşında,Kombi,156835-34
https://www.hepsiemlak.com/antalya-muratpasa-doguyaka-satilik/daire/151812-172,4.200.000 TL,2 + 1,125 m2,4 Katlı,2. Kat,6 Yaşında,Kat Kaloriferi,151812-172
https://www.hepsiemlak.com/antalya-kepez-husnu-karakas-satilik/daire/161643-24,3.199.000 TL,2 + 1,100 m2,3 Katlı,Yüksek Giriş,Sıfır Bina,Klima,161643-24
https://www.hepsiemlak.com/antalya-konyaalti-arapsuyu-satilik/daire/45502-2619,8.250.000 TL,3 + 1,210 m2,3 Katlı,Villa Katı,11 Yaşında,Kombi,45502-2619
https://www.hepsiemlak.com/antalya-muratpasa-zerdalilik-satilik/daire/153750-70,8.050.000 TL,3 + 1,150 m2,4 Katlı,1. Kat,Sıfır Bina,Merkezi,153750-70
https://www.hepsiemlak.com/antalya-kepez-ulus-satilik/daire/8560-5645,5.400.000 TL,3 + 1,152 m2,3 Katlı,1. Kat,25 Yaşında,Klima,8560-5645
https://www.hepsiemlak.com/antalya-kepez-ataturk-satilik/daire/145560-245,4.150.000 TL,2 + 1,80 m2,3 Katlı,Yüksek Giriş,1 Yaşında,Kombi,145560-245
https://www.hepsiemlak.com/antalya-kepez-yesiltepe-satilik/daire/141424-130,4.250.000 TL,3 + 1,135 m2,5 Katlı,2. Kat,21 Yaşında,Klima,141424-130
